1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 15 17
9 16 17
10 11 17
10 12 16
11 13 15
12 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 16 17
9 15 17
10 11 17
10 13 16
11 12 15
12 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 14 16
8 15 17
9 16 17
10 11 17
10 12 16
11 13 15
12 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 14 16
8 16 17
9 15 17
10 11 17
10 13 16
11 12 15
12 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 9
2 5 11
3 4 12
3 6 13
5 14 15
7 16 17
8 14 16
9 15 17
10 12 17
10 13 16
11 12 15
11 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 8
3 4 7
3 12 13
5 14 15
6 16 17
9 14 16
9 15 17
10 12 17
10 13 16
11 12 15
11 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 14 16
8 15 17
9 16 17
10 11 17
10 12 16
11 13 15
12 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 14 16
8 16 17
9 15 17
10 11 17
10 13 16
11 12 15
12 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 9
3 4 12
3 7 13
5 14 15
6 16 17
8 14 16
9 15 17
10 12 17
10 13 16
11 12 15
11 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 13 15
6 14 16
7 8 17
9 10 16
9 11 15
10 14 17
11 13 17
12 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 12
3 13 14
5 15 16
6 13 15
7 8 17
9 11 16
9 15 17
10 11 14
10 13 17
12 14 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 16
7 11 17
8 14 16
9 13 17
10 16 17
11 13 15
12 14 15

