1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 9
2 5 10
3 4 11
3 5 6
7 12 13
8 14 15
10 16 17
10 18 19
11 16 18
11 17 19
12 14 19
12 15 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 11
3 5 12
6 13 14
7 8 15
9 16 17
10 16 18
10 17 19
11 18 19
12 13 19
12 14 18
13 15 17
14 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 11 14
7 10 15
8 16 17
9 16 18
10 17 19
11 18 19
12 13 19
12 14 18
13 15 17
14 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 11 14
7 10 15
8 16 17
9 16 18
10 18 19
11 17 19
12 13 19
12 15 18
13 14 17
14 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 11 14
7 10 15
8 16 17
9 18 19
10 16 18
11 17 19
12 14 19
12 15 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 13 14
7 15 16
8 15 17
9 10 18
10 16 19
11 12 19
11 14 17
12 16 18
13 17 19
14 15 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 13 14
7 15 16
8 17 18
9 10 19
10 15 17
11 14 18
11 17 19
12 14 16
12 15 19
13 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 15 17
9 16 17
10 11 18
10 12 19
11 13 19
12 13 18
14 17 19
15 16 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 15 17
9 16 18
10 11 19
10 12 18
11 13 17
12 16 19
13 15 19
14 17 18

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 15 17
9 18 19
10 11 18
10 12 19
11 17 19
12 16 18
13 14 17
13 15 16

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 9
2 4 10
2 5 11
3 4 12
3 5 13
6 14 15
7 14 16
8 16 17
9 15 17
10 11 18
10 13 19
11 12 19
